Pays,Année,geo,Population,Température,Code,CO2,Catastrophes_totales,Cold wave,Ground movement,Avalanche (wet),Flood (General),Flash flood,Storm (General),Blizzard/Winter storm,Landslide (wet),Heat wave,Forest fire,Tropical cyclone,Severe weather,Hail,Tornado
Benin,2001,ben,7445596,27.52448729721457,BEN,32623098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2001,bra,176301203,22.684574684574685,BRA,2584387600,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bulgaria,2001,bgr,7928452,10.402283105022832,BGR,57154024,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Burundi,2001,bdi,6634365,NA,BDI,6171717,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canada,2001,can,31213577,6.80978691019787,CAN,921271500,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Central African Republic,2001,caf,3919487,25.540235221293717,CAF,31245892,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
China,2001,chn,1278725063,15.726057838660578,CHN,5318594600,23,0,5,0,2,1,2,1,6,0,0,6,0,0,0
Colombia,2001,col,39709262,13.244658119658121,COL,179495500,4,0,0,0,0,0,0,0,2,0,1,0,0,0,1
Costa Rica,2001,cri,4008947,22.938781756963575,CRI,16264643,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Croatia,2001,hrv,4301074,12.312024353120243,HRV,18887970,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cuba,2001,cub,11144132,24.03854556803995,CUB,51464790,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cyprus,2001,cyp,964127,19.98310502283105,CYP,7152125.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Czechia,2001,cze,10231936,8.316742770167428,CZE,134902660,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,2001,dnk,5358828,8.153576864535768,DNK,71464830,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2001,dom,8720283,26.265571205007827,DOM,31846850,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ecuador,2001,ecu,12910740,18.85133887349954,ECU,69795810,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Egypt,2001,egy,74652029,22.631811263318113,EGY,210554880,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2001,eth,69487762,17.728899572649574,ETH,111918780,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Finland,2001,fin,5187971,5.562252663622527,FIN,103839224,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,2001,fra,59905128,12.895890410958904,FRA,483233300,5,0,0,0,2,1,0,0,0,0,0,0,0,0,2
Gabon,2001,gab,1309589,26.274410774410775,GAB,39183490,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2001,gmb,1495011,26.569618055555555,GMB,2639152,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Georgia,2001,geo,4209636,13.945211786372008,GEO,5770317,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany,2001,deu,81933885,9.757853937168504,DEU,1029552300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,2001,grc,10843164,18.966971080669712,GRC,123452540,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
